编号	大洲	战役	行省	城镇	开局派系	首府	世界X	世界Y	六边形X	六边形Y	区域KEY	行省KEY	派系KEY	英文名	分组KEY	大洲来源
66	诺斯卡	混沌魔域	戈罗迈德尼	海姆克尔神庙	戈罗迈德尼部落		434.21	195.93	650	254	wh3_main_chaos_region_temple_of_heimkel	wh3_main_chaos_province_the_goromadny	wh_dlc08_nor_goromadny_tribe	Temple of Heimkel	cai_chaos_region_hint_area_norsca	官方
67	诺斯卡	混沌魔域	瓦纳海姆山脉	冰湖湾	比约林		32.73	312.79	49	405	wh3_main_chaos_region_pack_ice_bay	wh3_main_chaos_province_vanaheim_mountains	wh_main_nor_bjornling	Pack Ice Bay	cai_chaos_region_hint_area_norsca	官方
68	诺斯卡	混沌魔域	瓦纳海姆山脉	巨魔峡湾	比约林	是	26.72	365.63	40	474	wh3_main_chaos_region_troll_fjord	wh3_main_chaos_province_vanaheim_mountains	wh_main_nor_bjornling	Troll Fjord	cai_chaos_region_hint_area_norsca	官方
69	诺斯卡	混沌魔域	瓦纳海姆山脉	蛇堤	比约林		73.48	329.37	110	427	wh3_main_chaos_region_serpent_jetty	wh3_main_chaos_province_vanaheim_mountains	wh_main_nor_bjornling	Serpent Jetty	cai_chaos_region_hint_area_norsca	官方
70	基斯里夫	混沌魔域	东方州	嘉科瓦要塞	罗普思曼氏族		358.06	98.73	536	128	wh3_main_chaos_region_fort_jakova	wh3_main_chaos_province_eastern_oblast	wh3_main_ksl_ropsmenn_clan	Fort Jakova	cai_chaos_region_hint_area_kislev	官方
71	基斯里夫	混沌魔域	东方州	格斯列夫	多尔甘		311.97	96.81	467	125	wh3_main_chaos_region_gerslev	wh3_main_chaos_province_eastern_oblast	wh3_dlc20_nor_dolgan	Gerslev	cai_chaos_region_hint_area_kislev	官方
72	基斯里夫	混沌魔域	东方州	沃斯格勒	罗普思曼氏族	是	318.65	129.20	477	167	wh3_main_chaos_region_volksgrad	wh3_main_chaos_province_eastern_oblast	wh3_main_ksl_ropsmenn_clan	Volksgrad	cai_chaos_region_hint_area_kislev	官方
73	基斯里夫	混沌魔域	东方州	艾格尔	罗普思曼氏族		332.67	105.68	498	137	wh3_main_chaos_region_igerov	wh3_main_chaos_province_eastern_oblast	wh3_main_ksl_ropsmenn_clan	Igerov	cai_chaos_region_hint_area_kislev	官方
74	基斯里夫	混沌魔域	乌斯科河	基斯里夫	冰雪王廷	是	277.90	96.42	416	125	wh3_main_chaos_region_kislev	wh3_main_chaos_province_river_urskoy	wh3_main_ksl_the_ice_court	Kislev	cai_chaos_region_hint_area_kislev	官方
75	基斯里夫	混沌魔域	北方州	佐申克	飞地近卫军	是	191.05	130.36	286	169	wh3_main_chaos_region_zoishenk	wh3_main_chaos_province_northern_oblast	wh3_main_ksl_druzhina_enclave	Zoishenk	cai_chaos_region_hint_area_kislev	官方
76	基斯里夫	混沌魔域	北方州	博尔加斯格勒	飞地近卫军		255.85	112.23	383	145	wh3_main_chaos_region_bolgasgrad	wh3_main_chaos_province_northern_oblast	wh3_main_ksl_druzhina_enclave	Bolgasgrad	cai_chaos_region_hint_area_kislev	官方
77	基斯里夫	混沌魔域	北方州	奥斯卓斯克要塞	飞地近卫军		219.78	140.77	329	182	wh3_main_chaos_region_fort_ostrosk	wh3_main_chaos_province_northern_oblast	wh3_main_ksl_druzhina_enclave	Fort Ostrosk	cai_chaos_region_hint_area_kislev	官方
78	基斯里夫	混沌魔域	北方州	达沙卡	飞地近卫军		243.83	129.98	365	168	wh3_main_chaos_region_dushyka	wh3_main_chaos_province_northern_oblast	wh3_main_ksl_druzhina_enclave	Dushyka	cai_chaos_region_hint_area_kislev	官方
79	基斯里夫	混沌魔域	受诅之城	普拉格	罗普思曼氏族	是	276.56	136.53	414	177	wh3_main_chaos_region_praag	wh3_main_chaos_province_the_cursed_city	wh3_main_ksl_ropsmenn_clan	Praag	cai_chaos_region_hint_area_kislev	官方
80	基斯里夫	混沌魔域	巨魔国度	亚历山德罗诺夫城堡	大正教会	是	150.30	150.80	225	195	wh3_main_chaos_region_castle_alexandronov	wh3_main_chaos_province_troll_country	wh3_main_ksl_the_great_orthodoxy	Castle Alexandronov	cai_chaos_region_hint_area_kislev	官方
81	基斯里夫	混沌魔域	巨魔国度	勒布利亚	乌果尔族裔		183.71	157.74	275	204	wh3_main_chaos_region_leblya	wh3_main_chaos_province_troll_country	wh3_main_ksl_ungol_kindred	Leblya	cai_chaos_region_hint_area_kislev	官方
82	基斯里夫	混沌魔域	巨魔国度	扎申	乌果尔族裔		205.75	165.07	308	214	wh3_main_chaos_region_dhazhyn	wh3_main_chaos_province_troll_country	wh3_main_ksl_ungol_kindred	Dhazhyn	cai_chaos_region_hint_area_kislev	官方
83	基斯里夫	混沌魔域	林斯克河	厄伦格勒	飞地近卫军	是	173.02	107.61	259	139	wh3_main_chaos_region_erengrad	wh3_main_chaos_province_river_lynsk	wh3_main_ksl_druzhina_enclave	Erengrad	cai_chaos_region_hint_area_kislev	官方
84	基斯里夫	混沌魔域	达赫里斯森林	塞普奇	贝尔索林		330.67	163.14	495	211	wh3_main_chaos_region_sepukzy	wh3_main_chaos_province_dukhlys_forest	wh_main_nor_baersonling	Sepukzy	cai_chaos_region_hint_area_kislev	官方
85	基斯里夫	混沌魔域	达赫里斯森林	普列斯克	战熊兄弟会		354.05	137.30	530	178	wh3_main_chaos_region_plesk	wh3_main_chaos_province_dukhlys_forest	wh3_main_ksl_brotherhood_of_the_bear	Plesk	cai_chaos_region_hint_area_kislev	官方
86	基斯里夫	混沌魔域	达赫里斯森林	耶奇奇	贝尔索林		307.96	162.37	461	210	wh3_main_chaos_region_yetchitch	wh3_main_chaos_province_dukhlys_forest	wh_main_nor_baersonling	Yetchitch	cai_chaos_region_hint_area_kislev	官方
87	基斯里夫	混沌魔域	达赫里斯森林	诺杵兹	贝尔索林	是	360.73	162.76	540	211	wh3_main_chaos_region_novchozy	wh3_main_chaos_province_dukhlys_forest	wh_main_nor_baersonling	Novchozy	cai_chaos_region_hint_area_kislev	官方
88	基斯里夫	混沌魔域	黑血隘口	地狱深坑	腐坏氏族	是	246.50	156.20	369	202	wh3_main_chaos_region_hell_pit	wh3_main_chaos_province_black_blood_pass	wh2_main_skv_clan_moulder	Hell Pit	cai_chaos_region_hint_area_kislev	官方
89	矮人帝国（世界边缘山脉）	混沌魔域	世界边缘山脉	千柱石厅	赤目		406.16	118.02	608	153	wh3_main_chaos_region_khazid_irkulaz	wh3_main_chaos_province_worlds_edge_mountains	wh_main_grn_red_eye	Khazid Irkulaz	cai_chaos_region_hint_area_dwarf_empire	官方
90	矮人帝国（世界边缘山脉）	混沌魔域	世界边缘山脉	卡拉克·红眼山	赤目		381.44	119.18	571	154	wh3_main_chaos_region_karak_ungor	wh3_main_chaos_province_worlds_edge_mountains	wh_main_grn_red_eye	Karak Ungor	cai_chaos_region_hint_area_dwarf_empire	官方
91	矮人帝国（世界边缘山脉）	混沌魔域	世界边缘山脉	白银尖顶	莱弥亚姐妹会	是	435.55	121.88	652	158	wh3_main_chaos_region_the_silver_pinnacle	wh3_main_chaos_province_worlds_edge_mountains	wh3_main_vmp_lahmian_sisterhood	The Silver Pinnacle	cai_chaos_region_hint_area_dwarf_empire	官方
92	矮人帝国（世界边缘山脉）	混沌魔域	呼啸荒原	前哨站	扎尔杜克霸主		597.88	129.20	895	167	wh3_main_chaos_region_the_sentinels	wh3_main_chaos_province_the_howling_wastes	wh3_dlc23_chd_minor_faction	The Sentinels	cai_chaos_region_hint_area_dwarf_empire	官方
93	矮人帝国（世界边缘山脉）	混沌魔域	呼啸荒原	奔兽之塔	扎尔杜克霸主	是	542.43	80.22	812	104	wh3_main_chaos_region_the_tower_of_gorgoth	wh3_main_chaos_province_the_howling_wastes	wh3_dlc23_chd_minor_faction	The Tower of Gorgoth	cai_chaos_region_hint_area_dwarf_empire	官方
94	矮人帝国（世界边缘山脉）	混沌魔域	呼啸荒原	奔兽矿场	扎尔杜克霸主		584.52	96.03	875	124	wh3_main_chaos_region_mines_of_gorgoth	wh3_main_chaos_province_the_howling_wastes	wh3_dlc23_chd_minor_faction	Mines of Gorgoth	cai_chaos_region_hint_area_dwarf_empire	官方
95	矮人帝国（世界边缘山脉）	混沌魔域	孬不拉国度	剥皮岩	阿佐格军团		645.98	152.34	967	197	wh3_dlc23_chaos_region_flayed_rock	wh3_dlc23_chaos_province_gnoblar_country	wh3_dlc23_chd_legion_of_azgorh	Flayed Rock	cai_chaos_region_hint_area_dwarf_empire	官方
96	矮人帝国（世界边缘山脉）	混沌魔域	孬不拉国度	废料塔	雷肠		693.41	142.70	1038	185	wh3_main_chaos_region_skrap_towers	wh3_dlc23_chaos_province_gnoblar_country	wh3_main_ogr_thunderguts	Skrap Towers	cai_chaos_region_hint_area_dwarf_empire	官方
97	矮人帝国（世界边缘山脉）	混沌魔域	孬不拉国度	碎石湾	雷肠		660.01	101.82	988	132	wh3_main_chaos_region_shattered_stone_bay	wh3_dlc23_chaos_province_gnoblar_country	wh3_main_ogr_thunderguts	Shattered Stone Bay	cai_chaos_region_hint_area_dwarf_empire	官方
98	矮人帝国（世界边缘山脉）	混沌魔域	孬不拉国度	黑色要塞	阿佐格军团	是	636.62	132.29	953	171	wh3_main_chaos_region_black_fortress	wh3_dlc23_chaos_province_gnoblar_country	wh3_dlc23_chd_legion_of_azgorh	Black Fortress	cai_chaos_region_hint_area_dwarf_empire	官方
99	矮人帝国（世界边缘山脉）	混沌魔域	尖峰隘口	卡拉克·卡德林	卡拉克·卡德林	是	377.43	70.58	565	91	wh3_main_chaos_region_karak_kadrin	wh3_main_chaos_province_peak_pass	wh_main_dwf_karak_kadrin	Karak Kadrin	cai_chaos_region_hint_area_dwarf_empire	官方
100	矮人帝国（世界边缘山脉）	混沌魔域	尖峰隘口	卡拉克·拉泽亚克	赤目		412.17	72.12	617	93	wh3_main_chaos_region_karak_raziak	wh3_main_chaos_province_peak_pass	wh_main_grn_red_eye	Karak Raziak	cai_chaos_region_hint_area_dwarf_empire	官方
101	矮人帝国（世界边缘山脉）	混沌魔域	尖峰隘口	纳施拉克巢穴	赤目		444.90	84.08	666	109	wh3_main_chaos_region_gnashraks_lair	wh3_main_chaos_province_peak_pass	wh_main_grn_red_eye	Gnashrak's Lair	cai_chaos_region_hint_area_dwarf_empire	官方
102	矮人帝国（世界边缘山脉）	混沌魔域	巨龙群岛	龙牙山	泰波克之种	是	719.46	61.32	1077	79	wh3_main_chaos_region_dragon_fang_mount	wh3_dlc23_chaos_province_dragon_isles	wh3_main_lzd_tepoks_spawn	Dragon Fang Mount		就近推定
103	矮人帝国（世界边缘山脉）	混沌魔域	扎尔平原	恶魔桩	秘会侍仆		579.84	167.39	868	217	wh3_main_chaos_region_the_daemons_stump	wh3_main_chaos_province_the_plain_of_zharr	wh3_dlc23_chd_conclave	The Daemon's Stump	cai_chaos_region_hint_area_dwarf_empire	官方
104	矮人帝国（世界边缘山脉）	混沌魔域	扎尔平原	扎尔·纳格隆德	秘会侍仆	是	544.44	170.09	815	220	wh3_main_chaos_region_zharr_naggrund	wh3_main_chaos_province_the_plain_of_zharr	wh3_dlc23_chd_conclave	Zharr-Naggrund	cai_chaos_region_hint_area_dwarf_empire	官方
105	矮人帝国（世界边缘山脉）	混沌魔域	扎尔平原	迦什·卡德拉克	秘会侍仆		547.78	190.53	820	247	wh3_dlc23_chaos_region_gash_kadrak	wh3_main_chaos_province_the_plain_of_zharr	wh3_dlc23_chd_conclave	Gash Kadrak	cai_chaos_region_hint_area_dwarf_empire	官方
106	矮人帝国（世界边缘山脉）	混沌魔域	狼野	悲痛塔	月嚎部落		600.55	87.55	899	113	wh3_main_chaos_region_tower_of_grief	wh3_main_chaos_province_the_wolf_lands	wh3_main_grn_moon_howlerz	Tower of Grief	cai_chaos_region_hint_area_dwarf_empire	官方
107	矮人帝国（世界边缘山脉）	混沌魔域	狼野	灰魔女山	咧嘴氏族		567.15	63.64	849	82	wh3_main_chaos_region_mount_grey_hag	wh3_main_chaos_province_the_wolf_lands	wh2_dlc09_skv_clan_rictus	Mount Grey Hag	cai_chaos_region_hint_area_dwarf_empire	官方
108	矮人帝国（世界边缘山脉）	混沌魔域	狼野	驼背山	咧嘴氏族	是	527.74	34.71	790	45	wh3_main_chaos_region_crookback_mountain	wh3_main_chaos_province_the_wolf_lands	wh2_dlc09_skv_clan_rictus	Crookback Mountain	cai_chaos_region_hint_area_dwarf_empire	官方
109	矮人帝国（世界边缘山脉）	混沌魔域	白银之路	刚巴德峰	血牙部落		466.95	69.04	699	89	wh3_main_chaos_region_mount_gunbad	wh3_dlc23_chaos_province_silver_road	wh3_main_grn_drippin_fangs	Mount Gunbad		就近推定
110	矮人帝国（世界边缘山脉）	混沌魔域	白银之路	死岩裂口	卡拉克·铁峰堡		441.56	45.90	661	59	wh3_dlc23_chaos_region_deadrock_gap	wh3_dlc23_chaos_province_silver_road	wh_main_dwf_karak_azul	Deadrock Gap		就近推定
111	矮人帝国（世界边缘山脉）	混沌魔域	白银之路	葛朗尼石厅	卡拉克·铁峰堡	是	460.27	13.50	689	17	wh3_dlc23_chaos_region_pillars_of_grungni	wh3_dlc23_chaos_province_silver_road	wh_main_dwf_karak_azul	Pillars of Grungni		就近推定
112	矮人帝国（世界边缘山脉）	混沌魔域	白银之路	银矛山	卡拉克·铁峰堡		488.32	53.61	731	69	wh3_main_chaos_region_mount_grimfang	wh3_dlc23_chaos_province_silver_road	wh_main_dwf_karak_azul	Mount Silverspear		就近推定
113	矮人帝国（世界边缘山脉）	混沌魔域	诅咒荒原	呼啸岩	血牙部落		508.36	106.83	761	138	wh3_main_chaos_region_howling_rock	wh3_main_chaos_province_the_blasted_wastes	wh3_main_grn_drippin_fangs	Howling Rock	cai_chaos_region_hint_area_dwarf_empire	官方
114	矮人帝国（世界边缘山脉）	混沌魔域	诅咒荒原	扎尔之门	扎尔战团	是	543.10	118.40	813	153	wh3_main_chaos_region_the_gates_of_zharr	wh3_main_chaos_province_the_blasted_wastes	wh3_dlc23_chd_zhatan	The Gates of Zharr	cai_chaos_region_hint_area_dwarf_empire	官方
115	矮人帝国（世界边缘山脉）	混沌魔域	诅咒荒原	邓肯穆尔荒原	血牙部落		481.64	112.23	721	145	wh3_dlc23_chaos_region_desolation_of_drakenmoor	wh3_main_chaos_province_the_blasted_wastes	wh3_main_grn_drippin_fangs	Desolation of Drakenmoor	cai_chaos_region_hint_area_dwarf_empire	官方
116	矮人帝国（世界边缘山脉）	混沌魔域	闹鬼森林	闹鬼森林	蓝玫瑰车队	是	722.80	144.25	1082	187	wh3_dlc23_chaos_region_the_haunted_forest	wh3_main_chaos_province_the_haunted_forest	wh3_main_vmp_caravan_of_blue_roses	The Haunted Forest	cai_chaos_region_hint_area_dwarf_empire	官方
117	矮人帝国（世界边缘山脉）	混沌魔域	骸骨平原	沃拉格要塞	卡勒多骑士	是	607.23	38.95	909	50	wh3_main_chaos_region_the_fortress_of_vorag	wh3_dlc23_chaos_province_the_plain_of_bones	wh2_dlc15_hef_imrik	The Fortress of Vorag	cai_chaos_region_hint_area_dwarf_empire	官方
118	矮人帝国（世界边缘山脉）	混沌魔域	骸骨平原	猪倌镇	月嚎部落		629.94	69.81	943	90	wh3_main_chaos_region_pigbarter	wh3_dlc23_chaos_province_the_plain_of_bones	wh3_main_grn_moon_howlerz	Pigbarter	cai_chaos_region_hint_area_dwarf_empire	官方
119	矮人帝国（世界边缘山脉）	混沌魔域	骸骨平原	阿努雷尔之墓	卡勒多骑士		577.17	15.43	864	20	wh3_dlc23_chaos_region_anurells_tomb	wh3_dlc23_chaos_province_the_plain_of_bones	wh2_dlc15_hef_imrik	Anurell's Tomb	cai_chaos_region_hint_area_dwarf_empire	官方
120	矮人帝国（世界边缘山脉）	混沌魔域	骸骨平原	黑堡	月嚎部落		601.22	63.25	900	82	wh3_main_chaos_region_darkhold	wh3_dlc23_chaos_province_the_plain_of_bones	wh3_main_grn_moon_howlerz	Darkhold	cai_chaos_region_hint_area_dwarf_empire	官方
121	矮人帝国（世界边缘山脉）	混沌魔域	骸骨高原	乌兹库兰尼	黑暗之地兽人		477.64	155.43	715	201	wh3_main_chaos_region_uzkulany	wh3_main_chaos_province_zorn_uzkul	wh3_main_grn_dark_land_orcs	Uzkulany	cai_chaos_region_hint_area_dwarf_empire	官方
122	矮人帝国（世界边缘山脉）	混沌魔域	骸骨高原	乌兹库拉克	哈苏特信徒	是	488.99	186.67	732	242	wh3_main_chaos_region_uzkulak	wh3_main_chaos_province_zorn_uzkul	wh3_dlc23_chd_astragoth	Uzkulak	cai_chaos_region_hint_area_dwarf_empire	官方
123	矮人帝国（世界边缘山脉）	混沌魔域	骸骨高原	德兹内沃特要塞	厄孙复兴者		485.65	170.86	727	221	wh3_main_chaos_region_fort_dorznye_vort	wh3_main_chaos_province_zorn_uzkul	wh3_main_ksl_ursun_revivalists	Fort Dorznye-vort	cai_chaos_region_hint_area_dwarf_empire	官方
124	矮人帝国（世界边缘山脉）	混沌魔域	骸骨高原	灾厄瀑布	哈苏特信徒		517.72	183.20	775	237	wh3_main_chaos_region_the_falls_of_doom	wh3_main_chaos_province_zorn_uzkul	wh3_dlc23_chd_astragoth	The Falls of Doom	cai_chaos_region_hint_area_dwarf_empire	官方
125	矮人帝国（世界边缘山脉）	混沌魔域	高山隘口	卡拉克·独孤城		是	418.85	175.49	627	227	wh3_main_chaos_region_karak_vlag	wh3_main_chaos_province_the_high_pass		Karak Vlag	cai_chaos_region_hint_area_dwarf_empire	官方
126	矮人帝国（世界边缘山脉）	混沌魔域	高山隘口	卡拉兹·崖窟哨	磨砂氏族		448.24	179.34	671	232	wh3_main_chaos_region_kraz_und	wh3_main_chaos_province_the_high_pass	wh3_main_skv_clan_gritus	Kraz Und	cai_chaos_region_hint_area_dwarf_empire	官方
127	矮人帝国（世界边缘山脉）	混沌魔域	高山隘口	库拉可峰	磨砂氏族		408.16	152.34	611	197	wh3_main_chaos_region_kurak_peak	wh3_main_chaos_province_the_high_pass	wh3_main_skv_clan_gritus	Kurak Peak	cai_chaos_region_hint_area_dwarf_empire	官方
128	矮人帝国（世界边缘山脉）	混沌魔域	高山隘口	血角	磨砂氏族		431.54	140.39	646	182	wh3_main_chaos_region_seep_gore	wh3_main_chaos_province_the_high_pass	wh3_main_skv_clan_gritus	Seep-Gore	cai_chaos_region_hint_area_dwarf_empire	官方
129	矮人帝国（世界边缘山脉）	混沌魔域	黑水	橡锤镇	激流关		358.73	26.61	537	34	wh3_main_chaos_region_oakenhammer	wh3_main_chaos_province_black_water	wh_main_dwf_zhufbar	Oakenhammer	cai_chaos_region_hint_area_dwarf_empire	官方
130	矮人帝国（世界边缘山脉）	混沌魔域	黑水	激流关	激流关	是	391.46	37.80	586	49	wh3_main_chaos_region_zhufbar	wh3_main_chaos_province_black_water	wh_main_dwf_zhufbar	Zhufbar	cai_chaos_region_hint_area_dwarf_empire	官方
131	哀恸山脉	混沌魔域	东行之路	伊米尔德拉克之冰穴	松齿		511.70	235.27	766	305	wh3_main_chaos_region_ice_caverns_of_ymirdrak	wh3_main_chaos_province_path_to_the_east	wh3_main_ogr_loose_tooth	Ice Caverns of Ymirdrak	cai_chaos_region_hint_area_mourn_mountains	官方
132	哀恸山脉	混沌魔域	东行之路	弯刀山	赛铁刀皮		473.63	220.22	709	285	wh3_main_chaos_region_sabre_mountain	wh3_main_chaos_province_path_to_the_east	wh3_main_ogr_sabreskin	Sabre Mountain	cai_chaos_region_hint_area_mourn_mountains	官方
133	哀恸山脉	混沌魔域	东行之路	暴雪峰	松齿	是	517.05	266.89	774	346	wh3_main_chaos_region_blizzardpeak	wh3_main_chaos_province_path_to_the_east	wh3_main_ogr_loose_tooth	Blizzardpeak	cai_chaos_region_hint_area_mourn_mountains	官方
134	哀恸山脉	混沌魔域	东行之路	涌冰口	赛铁刀皮		486.32	244.52	728	317	wh3_main_chaos_region_icespewer	wh3_main_chaos_province_path_to_the_east	wh3_main_ogr_sabreskin	Icespewer	cai_chaos_region_hint_area_mourn_mountains	官方
135	哀恸山脉	混沌魔域	冰雪隘口	泰坦谷	血胃	是	654.66	273.06	980	354	wh3_main_chaos_region_vale_of_titans	wh3_main_chaos_province_ice_pass	wh3_main_ogr_bloodmaw	Vale of Titans	cai_chaos_region_hint_area_mourn_mountains	官方
136	哀恸山脉	混沌魔域	冰雪隘口	耶提峰	嗜血狂		616.58	305.85	923	396	wh3_main_chaos_region_yhetee_peak	wh3_main_chaos_province_ice_pass	wh3_main_ogr_blood_guzzlers	Yhetee Peak	cai_chaos_region_hint_area_mourn_mountains	官方
137	哀恸山脉	混沌魔域	冰雪隘口	迷雾谷	血胃		627.27	268.82	939	348	wh3_main_chaos_region_mist_gorge	wh3_main_chaos_province_ice_pass	wh3_main_ogr_bloodmaw	Mist Gorge	cai_chaos_region_hint_area_mourn_mountains	官方
138	哀恸山脉	混沌魔域	哀痛山脉	卡拉克·黑域堡	卡拉克·黑域堡	是	598.55	210.58	896	273	wh3_main_chaos_region_karak_azorn	wh3_main_chaos_province_mountains_of_mourn	wh3_main_dwf_karak_azorn	Karak Azorn	cai_chaos_region_hint_area_mourn_mountains	官方
139	哀恸山脉	混沌魔域	哀痛山脉	火口	佛戈		586.52	244.52	878	317	wh3_main_chaos_region_fire_mouth	wh3_main_chaos_province_mountains_of_mourn	wh3_main_ogr_fulg	Fire Mouth	cai_chaos_region_hint_area_mourn_mountains	官方
140	哀恸山脉	混沌魔域	哀痛山脉	黑牙镇	佛戈		555.79	217.52	832	282	wh3_main_chaos_region_black_fang	wh3_main_chaos_province_mountains_of_mourn	wh3_main_ogr_fulg	Black Fang	cai_chaos_region_hint_area_mourn_mountains	官方
141	哀恸山脉	混沌魔域	妖龙隘口	失陷城		是	657.33	237.58	984	308	wh3_main_chaos_region_fallen_city	wh3_main_chaos_province_the_great_maw		Fallen City	cai_chaos_region_hint_area_mourn_mountains	官方
142	哀恸山脉	混沌魔域	妖龙隘口	暴徒山	受恩者		686.06	274.22	1027	355	wh3_main_chaos_region_mount_thug	wh3_main_chaos_province_the_great_maw	wh3_main_ogr_lazarghs	Mount Thug	cai_chaos_region_hint_area_mourn_mountains	官方
143	哀恸山脉	混沌魔域	妖龙隘口	蹒跚镇	受恩者		688.06	247.61	1030	321	wh3_main_chaos_region_shambletown	wh3_main_chaos_province_the_great_maw	wh3_main_ogr_lazarghs	Shambletown	cai_chaos_region_hint_area_mourn_mountains	官方
144	哀恸山脉	混沌魔域	白骨之路	嘶叫深坑	吞山者		552.45	316.65	827	410	wh3_main_chaos_region_hissing_pits	wh3_main_chaos_province_bone_road	wh3_main_ogr_mountaineaters	Hissing Pits	cai_chaos_region_hint_area_mourn_mountains	官方
145	哀恸山脉	混沌魔域	白骨之路	最后天空城堡	群山之子	是	574.50	344.80	860	447	wh3_main_chaos_region_the_last_sky_castle	wh3_main_chaos_province_bone_road	wh3_main_ogr_sons_of_the_mountain	The Last Sky Castle	cai_chaos_region_hint_area_mourn_mountains	官方
146	哀恸山脉	混沌魔域	白骨之路	花岗岩群峰	群山之子		556.46	348.27	833	451	wh3_main_chaos_region_granite_spikes	wh3_main_chaos_province_bone_road	wh3_main_ogr_sons_of_the_mountain	Granite Spikes	cai_chaos_region_hint_area_mourn_mountains	官方
147	哀恸山脉	混沌魔域	远古巨人之地	天空之碑	獠日部落		586.52	313.95	878	407	wh3_main_chaos_region_the_sky_monolith	wh3_main_chaos_province_ancient_giant_lands	wh3_main_grn_tusked_sunz	The Sky Monolith	cai_chaos_region_hint_area_mourn_mountains	官方
148	哀恸山脉	混沌魔域	远古巨人之地	泰坦台阶	獠日部落		592.54	334.39	887	433	wh3_main_chaos_region_titans_notch	wh3_main_chaos_province_ancient_giant_lands	wh3_main_grn_tusked_sunz	Titan's Notch	cai_chaos_region_hint_area_mourn_mountains	官方
149	哀恸山脉	混沌魔域	远古巨人之地	浴血峰	嗜血狂	是	589.86	282.71	883	366	wh3_main_chaos_region_bloodpeak	wh3_main_chaos_province_ancient_giant_lands	wh3_main_ogr_blood_guzzlers	Bloodpeak	cai_chaos_region_hint_area_mourn_mountains	官方
150	哀恸山脉	混沌魔域	迦什·卡德拉克	克拉格山	松齿		551.79	281.55	826	365	wh3_main_chaos_region_mount_cragg	wh3_main_chaos_province_gash_kadrak	wh3_main_ogr_loose_tooth	Mount Cragg	cai_chaos_region_hint_area_mourn_mountains	官方
151	哀恸山脉	混沌魔域	迦什·卡德拉克	卡拉克·凄凉堡	格里姆格的狠小子	是	559.13	258.02	837	334	wh3_main_chaos_region_karak_vrag	wh3_main_chaos_province_gash_kadrak	wh_main_grn_greenskins	Karak Vrag	cai_chaos_region_hint_area_mourn_mountains	官方
152	哀恸山脉	混沌魔域	迦什·卡德拉克	噬人狂之岩			541.10	246.84	810	320	wh3_main_chaos_region_gorger_rock	wh3_main_chaos_province_gash_kadrak		Gorger Rock	cai_chaos_region_hint_area_mourn_mountains	官方
153	哀恸山脉	混沌魔域	迦什·卡德拉克	鹰巢	佛戈		535.75	209.04	802	271	wh3_main_chaos_region_eagle_eyries	wh3_main_chaos_province_gash_kadrak	wh3_main_ogr_fulg	Eagle Eyries	cai_chaos_region_hint_area_mourn_mountains	官方
154	哀恸山脉	混沌魔域	长牙之路	不屈峰	叉棒		662.01	199.40	991	258	wh3_main_chaos_region_grimtop	wh3_main_chaos_province_ivory_road	wh3_main_ogr_crossed_clubs	Grimtop	cai_chaos_region_hint_area_mourn_mountains	官方
155	哀恸山脉	混沌魔域	长牙之路	卡拉克·徒劳矿	克里泽氏族		676.71	170.09	1013	220	wh3_main_chaos_region_karak_krakaten	wh3_main_chaos_province_ivory_road	wh3_main_skv_clan_krizzor	Karak Krakaten	cai_chaos_region_hint_area_mourn_mountains	官方
156	哀恸山脉	混沌魔域	长牙之路	格雷苏巨厅	金牙	是	635.29	217.14	951	281	wh3_main_chaos_region_great_hall_of_greasus	wh3_main_chaos_province_ivory_road	wh3_main_ogr_goldtooth	Great Hall of Greasus	cai_chaos_region_hint_area_mourn_mountains	官方
157	哀恸山脉	混沌魔域	长牙之路	漫步峰	叉棒		611.24	229.48	915	297	wh3_main_chaos_region_amblepeak	wh3_main_chaos_province_ivory_road	wh3_main_ogr_crossed_clubs	Amblepeak	cai_chaos_region_hint_area_mourn_mountains	官方
158	混沌荒原	混沌魔域	冷泽	扭曲群塔	精美之痛		229.80	324.74	344	421	wh3_main_chaos_region_the_twisted_towers	wh3_main_chaos_province_the_cold_mires	wh3_main_sla_exquisite_pain	The Twisted Towers	cai_chaos_region_hint_area_chaos_wastes	官方
159	混沌荒原	混沌魔域	冷泽	蝇塔	精美之痛		209.09	302.76	313	392	wh3_main_chaos_region_the_tower_of_flies	wh3_main_chaos_province_the_cold_mires	wh3_main_sla_exquisite_pain	The Tower of Flies	cai_chaos_region_hint_area_chaos_wastes	官方
160	混沌荒原	混沌魔域	冷泽	黑岩	噶哈尔	是	219.11	275.38	328	357	wh3_main_chaos_region_black_rock	wh3_main_chaos_province_the_cold_mires	wh3_main_chs_gharhar	Black Rock	cai_chaos_region_hint_area_chaos_wastes	官方
161	混沌荒原	混沌魔域	北部荒原	亵渎要塞	盲眼者		86.84	394.17	130	511	wh3_main_chaos_region_fortress_of_the_damned	wh3_main_chaos_province_northern_wastes	wh3_dlc20_tze_the_sightless	Fortress of the Damned	cai_chaos_region_hint_area_chaos_wastes	官方
162	混沌荒原	混沌魔域	北部荒原	折磨裂谷	盲眼者		117.57	374.11	176	485	wh3_main_chaos_region_chasm_of_torment	wh3_main_chaos_province_northern_wastes	wh3_dlc20_tze_the_sightless	Chasm of Torment	cai_chaos_region_hint_area_chaos_wastes	官方
